Focus8 Data Dictionary,,,,,,,
,,,,,,,
Master Tables:,,,,,,,
57,mPos_Member,Point of Sales,Stores member masters data,\Home\Masters\PointOfSales\Member\Member,"mSec_Users 
mPos_CreditNote_ConvertPoints
mPos_GiftVoucherSales
mPos_HomeDelivery
mPos_Member_PointsAvl
mPos_MemberLanguage
mPos_MemberPointsAcquired
mPos_MemberTreeDetails
mPos_ResvTblDtls
muPos_Member_CardDetails
tPos_SchemesAppliedBody3",iMasterId,"iCreatedBy
iModifiedBy
iMasterId 
iMemberId
iPrimaryMemberToMergeCard"
58,mPos_Member_PointsAvl,Point of Sales,Stores member points data,\Home\Masters\PointOfSales\Member\MemberPointsDefinition->Post transactions for member  satisfying points evaluation criteria,mPos_Member ,iMasterId,iMasterId
59,mPos_MemberCardDefinition,Point of Sales,Stores member card definition masters data,\Home\Masters\PointOfSales\Member\MemberCardDefinition,"mSec_Users 
mPos_MemberCardDefinitionLanguage
mPos_MemberCardDefinitionTreeDetails
mPos_MemberCardReg
muPos_Member_CardDetails_Details",iMasterId,"iCreatedBy
iModifiedBy
iMasterId 
iParentId 
iCardDefId
iCardName"
60,mPos_MemberCardDefinitionLanguage,Point of Sales,Stores member card definition language data,\Home\Masters\PointOfSales\Member\MemberCardDefinition,cCore_LanguageSupported mPos_MemberCardDefinition ,"iMasterId 
iLanguageId","iMasterId 
iLanguageId"
61,mPos_MemberCardDefinitionTree,Point of Sales,Stores member card definition tree data,\Home\Masters\PointOfSales\Member\MemberCardDefinition,"mPos_MemberCardDefinitionTreeDetails
mPos_MemberCardDefinitionTreeFields",iTreeId,iTreeId
62,mPos_MemberCardDefinitionTreeDetails,Point of Sales,Stores member card definition tree details data,\Home\Masters\PointOfSales\Member\MemberCardDefinition,mPos_MemberCardDefinition mPos_MemberCardDefinitionTree ,iTreeId,"iMasterId
iParentId
iTreeId"
63,mPos_MemberCardDefinitionTreeFields,Point of Sales,Stores member card definition tree fields data,\Home\Masters\PointOfSales\Member\MemberCardDefinition,cCore_MasterFields mPos_MemberCardDefinitionTree ,"iTreeId
iSequence","iFieldId
iTreeId"
64,mPos_MemberCardReg,Point of Sales,Table holds member card registration series data,\Home\Masters\PointOfSales\Member\MemberCardRegistrationSeries,mPos_MemberCardDefinition ,iId,iCardDefId
65,mPos_MemberExtraDetails,Point of Sales,Stores members additional details,\Home\Masters\PointOfSales\Member\MemberType,,iMasterId,
66,mPos_MemberLanguage,Point of Sales,Stores member language data,\Home\Masters\PointOfSales\Member\Member,"cCore_LanguageSupported 
mPos_Member ","iMasterId 
iLanguageId","iMasterId 
iLanguageId"
67,mPos_MemberPointsAcquired,Point of Sales,Stores points information acquired by members,\Home\Masters\PointOfSales\Member\MemberPointsDefinition,"mPos_Member 
mPos_MemberPointsRedemption",iId,"iMemberId
iMemberPointsId"
68,mPos_MemberPointsDef,Point of Sales,Stores members points defination header screen data,\Home\Masters\PointOfSales\Member\MemberPointsDefinition,"mPos_MemberType 
mPos_MemberPointsDefBody",iId,"iMemberTypeId
iMemberPointsDefId"
69,mPos_MemberPointsDefBody,Point of Sales,Stores member points defination body data,\Home\Masters\PointOfSales\Member\MemberPointsDefinition,"mPos_MemberPointsDef 
mPos_MemberPointsDefBody1",iId,"iMemberPointsDefId
iMemberPontsDefBodyId"
70,mPos_MemberPointsDefBody1,Point of Sales,Stores member points defination body data,\Home\Masters\PointOfSales\Member\MemberPointsDefinition,"mPos_MemberPointsDefBody 
mCore_Product ",iMemberPointsDefBodyId,iMemberPointsDefBodyId iProductId
71,mPos_MemberPointsDefCriteria,Point of Sales,Criteria for member points,\Home\Masters\PointOfSales\Member\MemberPointsDefinition,mPos_MemberPointsDefBody ,iMemberPontsDefBodyId,iMemberPontsDefBodyId
72,mPos_MemberPointsOpening,Point of Sales,Stores opening points for members,\Home\Masters\PointOfSales\Member\MemberPointsOpeningBalance,,iId,
73,mPos_MemberPointsRedemption,Point of Sales,Stores redeemed points information for POS members,\Home\Masters\PointOfSales\Member\MemberPointsDefinition,mPos_MemberPointsAcquired ,iId,iMemberPointsId
74,mPos_MemberTree,Point of Sales,Stores member tree data,\Home\Masters\PointOfSales\Member\Member,"mPos_MemberTreeDetails
mPos_MemberTreeFields",iTreeId,iTreeId
75,mPos_MemberTreeDetails,Point of Sales,Stores member tree details data,\Home\Masters\PointOfSales\Member\Member,"mPos_Member mPos_Member 
mPos_MemberTree ",iTreeId,"iMasterId
iParentId
iTreeId"
76,mPos_MemberTreeFields,Point of Sales,Stores member tree fields data,\Home\Masters\PointOfSales\Member\Member,"cCore_MasterFields 
mPos_MemberTree ","iTreeId
iSequence","iFieldId
iTreeId"
77,mPos_Outlet,Point of Sales,Stores outlet masters data,\Home\Masters\PointOfSales\Outlet,"mSec_Users
This table is referenced by multiple tables ",iMasterId,"iCreatedBy
iModifiedBy
iMasterId 
iOutletId"
78,mPos_OutletLanguage,Point of Sales,Stores outlet language data,\Home\Masters\PointOfSales\Outlet,"cCore_LanguageSupported 
mPos_Outlet","iMasterId 
iLanguageId","iMasterId 
iLanguageId"
79,mPos_OutletPreferences_0,Point of Sales,Stores outlet preferences for current year,\Home\Masters\PointOfSales\Outlet,mPos_Outlet ,"iOutletId
sPrefType",iOutletId
80,mPos_OutletTree,Point of Sales,Stores outlet tree data,\Home\Masters\PointOfSales\Outlet,"mPos_OutletTreeDetails
mPos_OutletTreeFields",iTreeId,iTreeId
81,mPos_OutletTreeDetails,Point of Sales,Stores outlet tree details data,\Home\Masters\PointOfSales\Outlet,"mPos_Outlet 
mPos_OutletTree ",iTreeId,"iMasterId
iParentId
iTreeId"
82,mPos_OutletTreeFields,Point of Sales,Stores outlet tree fields data,\Home\Masters\PointOfSales\Outlet,"cCore_MasterFields 
mPos_OutletTree ","iTreeId
iSequence","iFieldId
iTreeId"
83,mPos_Preferences_0,Point of Sales,Stores POS screen utility preferences for current year,\POS\Utility\Preference,,sPrefType,
84,tPos_ActionApproved,Point of Sales,Stores approved actions data,\POS\MainScreen,mSec_Users,"iTransactionId
sVoucherNo",iApprovedBy
85,tPos_BankCardType_AuditLogDetails,Point of Sales,Audit log for bank card type,\Home\Masters\PointOfSales\BankCardType->Edit,"tCore_MasterAuditLog 
cCore_Fields ",iAuditId,"iAuditId
iFieldId"
86,tPos_Category_AuditLogDetails,Point of Sales,Audit log for category master,\Home\Masters\PointOfSales\Category->Edit,"tCore_MasterAuditLog 
cCore_Fields ",iAuditId,"iAuditId
iFieldId"
87,tPos_Counter_AuditLogDetails,Point of Sales,Audit log for counter master,\Home\Masters\PointOfSales\Counter->Edit,"tCore_MasterAuditLog 
cCore_Fields ",iAuditId,"iAuditId
iFieldId"
88,tPos_CreditSaleBody_0,Point of Sales,Stores credit sales body data,Post Credit Transactions,,iCrNoteTransId,
89,tPos_CreditSaleHeader_0,Point of Sales,Stores credit sales header data,Post Credit Transactions,mCore_Account ,iId,iCustomerId
90,tPos_DeliveryTimeInterval_AuditLogDetails,Point of Sales,Audit log for delivery time interval,\Home\Masters\PointOfSales\DeliveryTimeInterval->Edit,"tCore_MasterAuditLog 
cCore_Fields ",iAuditId,"iAuditId
iFieldId"
91,tPos_DiscountVoucherDefinition_AuditLogDetails,Point of Sales,Audit log for discount voucher defination masters,\Home\Masters\PointOfSales\DiscountVoucher\DiscountVoucher\Definition->Edit,"tCore_MasterAuditLog 
cCore_Fields ",iAuditId,"iAuditId
iFieldId"
92,tPos_EPayment_AuditLogDetails,Point of Sales,Audit log for epayment masters,\Home\Masters\PointOfSales\EPayment->Edit,"tCore_MasterAuditLog 
cCore_Fields ",iAuditId,"iAuditId
iFieldId"
93,tPos_Floor_AuditLogDetails,Point of Sales,Audit log for POS floor masters,\Home\Masters\PointOfSales\TableManagement\Floor->Edit,"tCore_MasterAuditLog 
cCore_Fields ",iAuditId,"iAuditId
iFieldId"
94,tPos_GiftVoucherDefinition_AuditLogDetails,Point of Sales,Audit log for gift voucher defination,\Home\Masters\PointOfSales\GiftVoucher\GiftVoucherDefinition->Edit,"tCore_MasterAuditLog 
cCore_Fields ",iAuditId,"iAuditId
iFieldId"
95,tPos_Guest_AuditLogDetails,Point of Sales,Audit log for guest,\Home\Masters\PointOfSales\TableManagement\Guest->Edit,"tCore_MasterAuditLog 
cCore_Fields ",iAuditId,"iAuditId
iFieldId"
96,tPos_KitchenDisplaySystem_AuditLogDetails,Point of Sales,Audit log for kitchen display system,\Home\Masters\PointOfSales\KitchenDisplaySystem->Edit,"tCore_MasterAuditLog 
cCore_Fields ",iAuditId,"iAuditId
iFieldId"
97,tPos_Member_AuditLogDetails,Point of Sales,Audit log for pos menbers master,\Home\Masters\PointOfSales\Member\Member->Edit,"tCore_MasterAuditLog 
cCore_Fields ",iAuditId,"iAuditId
iFieldId"
98,tPos_MemberCardDefinition_AuditLogDetails,Point of Sales,Audit log for member card defination,\Home\Masters\PointOfSales\Member\MemberCardDefinition->Edit,"tCore_MasterAuditLog 
cCore_Fields ",iAuditId,"iAuditId
iFieldId"
99,tPos_MemberType_AuditLogDetails,Point of Sales,Audit log for member type ,\Home\Masters\PointOfSales\Member\MemberType->Edit,"tCore_MasterAuditLog 
cCore_Fields ",iAuditId,"iAuditId
iFieldId"
100,tPos_Outlet_AuditLogDetails,Point of Sales,Audit log for outlet master,\Home\Masters\PointOfSales\Outlet->Edit,"tCore_MasterAuditLog 
cCore_Fields ",iAuditId,"iAuditId
iFieldId"
101,tPos_PaymentBody,Point of Sales,Stores POS payment vouchers body data,Post POS payment Transactions,"mCore_Currency 
tPos_PaymentHeader 
tPos_PaymentDenomination",iId,"iPaidCurrencyId
iPaymentHeaderId
iPaymentBodyId"
102,tPos_PaymentCardDetails,Point of Sales,Stores payment card details in POS system,Post POS payment Transactions,"mPos_BankCardType 
mPos_EPayment 
tPos_PaymentHeader",iPaymentHeaderId,"iPaymentHeaderId
iEPaymentType
iBankType"
103,tPos_PaymentDenomination,Point of Sales,Stores payment denomination data in POS system,Post POS payment Transactions,"mCore_DenominationDetails 
tPos_PaymentBody ",iPaymentBodyId,"iPaymentBodyId
iDenominationId"
104,tPos_PaymentHeader,Point of Sales,Stores POS payment header information,Post POS payment Transactions,"mCore_Currency 
tPos_PaymentBody
tPos_PaymentCardDetails",iId,"iPaymentHeaderId
iBaseCurrencyId"
105,tPos_ReturnRemarks_AuditLogDetails,Point of Sales,Audit log for return remarks,\Home\Masters\PointOfSales\ReturnRemark->Edit,"tCore_MasterAuditLog 
cCore_Fields ",iAuditId,"iAuditId
iFieldId"
106,tPos_SchemesApplied,Point of Sales,Stores applied schemes header data,Home->Masters->Scheme,tPos_SchemesAppliedBody1,iId,iSchAppHeaderId
107,tPos_SchemesAppliedBody1,Point of Sales,Stores applied schemes body data,Home->Masters->Scheme,"tPos_SchemesApplied mCore_Units 
tPos_SchemesAppliedBody2
tPos_SchemesAppliedBody3",iId,"iSchAppHeaderId
iUnitId
iSchAppBody1Id"
108,tPos_SchemesAppliedBody2,Point of Sales,Stores applied schemes body data,Home->Masters->Scheme,tPos_SchemesAppliedBody1 ,iSchAppBody1Id,iSchAppBody1Id
109,tPos_SchemesAppliedBody3,Point of Sales,Stores applied schemes body data,Home->Masters->Scheme,"mPos_Member 
tPos_SchemesAppliedBody1 ",iSchAppBody1Id,"iSchAppBody1Id
iMemberId"
110,tPos_Section_AuditLogDetails,Point of Sales,Audit log for POS section,\Home\Masters\PointOfSales\TableManagement\Section->Edit Master,"tCore_MasterAuditLog 
cCore_Fields ",iAuditId,"iAuditId
iFieldId"
111,tPos_Table_AuditLogDetails,Point of Sales,Audit log for POS table masters,\Home\Masters\PointOfSales\TableManagement\Table->Edit Master,"tCore_MasterAuditLog 
cCore_Fields ",iAuditId,"iAuditId
iFieldId"
112,tPos_TblMergeStatus,Point of Sales,Stores table merge status for rest POS,\POS\MainScreen\MainScreen->Select Panel having table merge status shortcut->Set merge table status,mPos_ResvTblDtls ,iSourceReserveId,sDestinationVoucherNo
113,tPos_TblStatus,Point of Sales,Stores table status information,\POS\MainScreen\MainScreen->Select Panel having table status shortcut->Set table status,"
mPos_ResvTblDtls 
mPos_Table ",iTransId,"iTransId
iReserveId
iTableId"
114,tPos_TransactionInfo,Point of Sales,Stores transaction information in POS,\POS\MainScreen\MainScreen->PostTransactions,,iSalesTransId,
115,tPos_VoidRemarks_AuditLogDetails,Point of Sales,Audit log for void remarks,\Home\Masters\PointOfSales\TableManagement\VoidRemarks->Edit Master,"tCore_MasterAuditLog 
cCore_Fields ",iAuditId,"iAuditId
iFieldId"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
